age,mx,qx,lx,dx,ex,sex
47,0.002654,0.002651,96432.2,255.6,34.06,M
48,0.002846,0.002842,96176.5,273.3,33.15,M
49,0.003181,0.003176,95903.2,304.6,32.24,M
50,0.003456,0.00345,95598.6,329.8,31.34,M
51,0.003727,0.00372,95268.8,354.4,30.45,M
52,0.003955,0.003947,94914.4,374.6,29.56,M
53,0.004299,0.00429,94539.8,405.6,28.67,M
54,0.004628,0.004618,94134.2,434.7,27.8,M
55,0.00496,0.004947,93699.5,463.6,26.92,M
56,0.005498,0.005483,93236,511.2,26.05,M
57,0.005959,0.005942,92724.8,550.9,25.19,M
58,0.006582,0.00656,92173.8,604.7,24.34,M
59,0.007101,0.007076,91569.1,647.9,23.5,M
60,0.007789,0.007758,90921.2,705.4,22.66,M
61,0.008433,0.008398,90215.8,757.6,21.84,M
62,0.009424,0.00938,89458.2,839.1,21.02,M
63,0.01034,0.010286,88619,911.6,20.21,M
64,0.011078,0.011017,87707.5,966.2,19.42,M
65,0.012288,0.012213,86741.2,1059.3,18.63,M
66,0.01369,0.013597,85681.9,1165,17.85,M
67,0.014622,0.014516,84516.9,1226.9,17.09,M
68,0.016219,0.016089,83290,1340.1,16.34,M
69,0.017849,0.017691,81950,1449.8,15.59,M
70,0.019119,0.018938,80500.2,1524.5,14.87,M
71,0.020637,0.020427,78975.7,1613.2,14.14,M
72,0.022623,0.02237,77362.5,1730.6,13.43,M
73,0.025753,0.025425,75631.9,1923,12.72,M
74,0.028582,0.02818,73708.9,2077.1,12.04,M
75,0.032161,0.031652,71631.8,2267.3,11.38,M
76,0.035724,0.035097,69364.5,2434.5,10.73,M
77,0.040228,0.039435,66930,2639.4,10.1,M
78,0.045516,0.044503,64290.6,2861.1,9.5,M
79,0.050659,0.049407,61429.5,3035.1,8.92,M
80,0.056768,0.055201,58394.4,3223.4,8.36,M
81,0.063225,0.061287,55171,3381.3,7.81,M
82,0.070716,0.068301,51789.7,3537.3,7.29,M
83,0.079407,0.076375,48252.4,3685.3,6.79,M
84,0.090213,0.086319,44567.2,3847,6.31,M
85,0.101516,0.096612,40720.1,3934.1,5.86,M
86,0.115811,0.109472,36786.1,4027,5.43,M
87,0.129957,0.122028,32759.1,3997.5,5.04,M
88,0.146841,0.136797,28761.5,3934.5,4.67,M
89,0.166257,0.153497,24827,3810.9,4.33,M
90,0.177007,0.162615,21016.1,3417.5,4.02,M
91,0.200413,0.18216,17598.6,3205.8,3.71,M
92,0.22124,0.199204,14392.8,2867.1,3.42,M
93,0.251087,0.223081,11525.7,2571.2,3.15,M
94,0.27859,0.244529,8954.6,2189.6,2.91,M
95,0.310602,0.268849,6764.9,1818.7,2.69,M
96,0.341378,0.291605,4946.2,1442.3,2.5,M
97,0.37318,0.314498,3503.8,1102,2.32,M
98,0.401115,0.334107,2401.9,802.5,2.16,M
99,0.459627,0.373737,1599.4,597.8,2,M
100,0.490459,0.39387,1001.6,394.5,1.89,M
